State_Name,Year,Poll,District,LB_Name,Ward_No,Ward_Reservation,Party_Abbreviation,Position,Status,N_Cand,Vote_Share_Percentage,Voter_Turnout_Percentage
Telangana,2020,0,Nizamabad,Nizamabad MC,1,Backward Classes (Women),TRS,1,,6,41.886,78.233
Telangana,2020,0,Nizamabad,Nizamabad MC,1,Backward Classes (Women),BJP,2,,6,36.653,78.233
Telangana,2020,0,Nizamabad,Nizamabad MC,1,Backward Classes (Women),INC,3,,6,10.212,78.233
Telangana,2020,0,Nizamabad,Nizamabad MC,1,Backward Classes (Women),IND,4,,6,4.265,78.233
Telangana,2020,0,Nizamabad,Nizamabad MC,1,Backward Classes (Women),IND,5,,6,2.259,78.233
Telangana,2020,0,Nizamabad,Nizamabad MC,1,Backward Classes (Women),IND,6,,6,2.213,78.233
Telangana,2020,0,Nizamabad,Nizamabad MC,1,Backward Classes (Women),,7,,6,0.207,78.233
Telangana,2020,0,Nizamabad,Nizamabad MC,2,Scheduled Tribe,TRS,1,,6,38.568,78.412
Telangana,2020,0,Nizamabad,Nizamabad MC,2,Scheduled Tribe,BJP,2,,6,29.556,78.412
Telangana,2020,0,Nizamabad,Nizamabad MC,2,Scheduled Tribe,IND,3,,6,29.136,78.412
Telangana,2020,0,Nizamabad,Nizamabad MC,2,Scheduled Tribe,INC,4,,6,0.617,78.412
Telangana,2020,0,Nizamabad,Nizamabad MC,2,Scheduled Tribe,IND,5,,6,0.395,78.412
Telangana,2020,0,Nizamabad,Nizamabad MC,2,Scheduled Tribe,IND,6,,6,0.222,78.412
Telangana,2020,0,Nizamabad,Nizamabad MC,2,Scheduled Tribe,,7,,6,0.049,78.412
Telangana,2020,0,Nizamabad,Nizamabad MC,3,Unreserved,TRS,1,,6,53.556,72.772
Telangana,2020,0,Nizamabad,Nizamabad MC,3,Unreserved,BJP,2,,6,41.15,72.772
Telangana,2020,0,Nizamabad,Nizamabad MC,3,Unreserved,IND,3,,6,2.273,72.772
Telangana,2020,0,Nizamabad,Nizamabad MC,3,Unreserved,INC,4,,6,0.812,72.772
Telangana,2020,0,Nizamabad,Nizamabad MC,3,Unreserved,IND,5,,6,0.779,72.772
Telangana,2020,0,Nizamabad,Nizamabad MC,3,Unreserved,IND,6,,6,0.195,72.772
Telangana,2020,0,Nizamabad,Nizamabad MC,3,Unreserved,,7,,6,0.227,72.772
Telangana,2020,0,Nizamabad,Nizamabad MC,4,Unreserved,BJP,1,,6,61.868,66.369
Telangana,2020,0,Nizamabad,Nizamabad MC,4,Unreserved,TRS,2,,6,32.79,66.369
Telangana,2020,0,Nizamabad,Nizamabad MC,4,Unreserved,INC,3,,6,2.143,66.369
Telangana,2020,0,Nizamabad,Nizamabad MC,4,Unreserved,IND,4,,6,0.832,66.369
Telangana,2020,0,Nizamabad,Nizamabad MC,4,Unreserved,AIFB,5,,6,0.608,66.369
Telangana,2020,0,Nizamabad,Nizamabad MC,4,Unreserved,IND,6,,6,0.384,66.369
Telangana,2020,0,Nizamabad,Nizamabad MC,4,Unreserved,,7,,6,0.352,66.369
Telangana,2020,0,Nizamabad,Nizamabad MC,5,Unreserved (Women),BJP,1,,5,54.321,72.365
Telangana,2020,0,Nizamabad,Nizamabad MC,5,Unreserved (Women),TRS,2,,5,35.692,72.365
Telangana,2020,0,Nizamabad,Nizamabad MC,5,Unreserved (Women),AIFB,3,,5,4.333,72.365
Telangana,2020,0,Nizamabad,Nizamabad MC,5,Unreserved (Women),INC,4,,5,3.623,72.365
