,State_Name,Year,Poll,District,LB_Type,LB_Code,LB_Name,Ward_Name,Ward_No,Ward_Reservation,OSN,Candidate_Name,Party,Votes,Position,Status,N_Cand,Valid_Votes,Rejected_Votes,Total_Votes,Total_Electors
1680,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 1,BC(W),1.0,Aggu Laxmi,BJP,1590.0,2,,6,4238.0,100,4338.0,5545
1681,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 1,BC(W),2.0,KORVA LALITHA,TRS,1817.0,1,Elected,6,4238.0,100,4338.0,5545
1682,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 1,BC(W),3.0,KORVA SINDU,INC,443.0,3,,6,4238.0,100,4338.0,5545
1683,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 1,BC(W),4.0,KORVA BHAGYA LAXMI,IND,96.0,6,,6,4238.0,100,4338.0,5545
1684,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 1,BC(W),5.0,PADDABBU RAMYA,IND,185.0,4,,6,4238.0,100,4338.0,5545
1685,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 1,BC(W),6.0,MAGIRI LAVANYA,IND,98.0,5,,6,4238.0,100,4338.0,5545
16200,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 1,BC(W),,NOTA,,9.0,7,,6,4238.0,100,4338.0,5545
1736,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 10,BC(W),1.0,Arshiya Firdouse,INC,700.0,2,,6,2386.0,49,2435.0,4437
1737,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 10,BC(W),2.0,Pallapu Laxmi,TDP,19.0,6,,6,2386.0,49,2435.0,4437
1738,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 10,BC(W),3.0,Putta Jayalaxmi,BJP,597.0,3,,6,2386.0,49,2435.0,4437
1739,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 10,BC(W),4.0,Bodigam Komal,TRS,880.0,1,Elected,6,2386.0,49,2435.0,4437
1740,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 10,BC(W),5.0,Laxmi Gopa Raju,IND,89.0,5,,6,2386.0,49,2435.0,4437
1741,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 10,BC(W),6.0,Lyyakat Begam,IND,92.0,4,,6,2386.0,49,2435.0,4437
16209,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 10,BC(W),,NOTA,,9.0,7,,6,2386.0,49,2435.0,4437
1742,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 11,BC(G),1.0,Md Kareemuddin,INC,141.0,5,,7,2810.0,71,2881.0,5086
1743,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 11,BC(G),2.0,Gondala Suresh Babu,BJP,191.0,4,,7,2810.0,71,2881.0,5086
1744,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 11,BC(G),3.0,Dandu Neethu Kiran,TRS,1468.0,1,Elected,7,2810.0,71,2881.0,5086
1745,Telangana,2020,0,Nizamabad,MC,1,Nizamabad MC,, 11,BC(G),4.0,M A Waheed Aveas,AIMIM,617.0,2,,7,2810.0,71,2881.0,5086
