State_Name,Year,Polling_Date,Seat,Poll,District,LB_Type,LB_Code,LB_Name,Ward_Name,Ward_No,Ward_Reservation,OSN,Candidate_Name,Father_Husband_Name,Candidate_Name_O,Father_Husband_Name_O,Gender,Party_ID,Party_Name,Party_Abbreviation,Age,Category,Education,Votes,Position,Status,N_Cand,Valid_Votes,Vote_Share_Percentage,Deposit_Lost,Total_Electors,Total_Votes,Rejected_Votes,Voter_Turnout_Percentage,Affidavit,Notes
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,1,Backward Classes (Women),2,KORVA LALITHA,,,,,8284,Telangana Rashtra Samithi,TRS,,,,1817,1,,6,4238,41.886,,5545,4338,100,78.233,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,1,Backward Classes (Women),1,Aggu Laxmi,,,,,1605,Bharatiya Janata Party,BJP,,,,1590,2,,6,4238,36.653,,5545,4338,100,78.233,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,1,Backward Classes (Women),3,KORVA SINDU,,,,,3482,CONGRESS,INC,,,,443,3,,6,4238,10.212,,5545,4338,100,78.233,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,1,Backward Classes (Women),5,PADDABBU RAMYA,,,,,10809,Independent,IND,,,,185,4,,6,4238,4.265,,5545,4338,100,78.233,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,1,Backward Classes (Women),6,MAGIRI LAVANYA,,,,,10809,Independent,IND,,,,98,5,,6,4238,2.259,,5545,4338,100,78.233,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,1,Backward Classes (Women),4,KORVA BHAGYA LAXMI,,,,,10809,Independent,IND,,,,96,6,,6,4238,2.213,,5545,4338,100,78.233,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,1,Backward Classes (Women),,NOTA,,,,,,,,,,,9,7,,6,4238,0.207,,5545,4338,100,78.233,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,2,Scheduled Tribe,1,MALAVATH RAISINGH,,,,,8284,Telangana Rashtra Samithi,TRS,,,,1562,1,,6,3991,38.568,,5165,4050,59,78.412,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,2,Scheduled Tribe,2,RATHOD AMBER SINGH,,,,,1605,Bharatiya Janata Party,BJP,,,,1197,2,,6,3991,29.556,,5165,4050,59,78.412,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,2,Scheduled Tribe,6,RAMCHANDER MATTA,,,,,10809,Independent,IND,,,,1180,3,,6,3991,29.136,,5165,4050,59,78.412,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,2,Scheduled Tribe,3,SUBHASH JADAV,,,,,3482,CONGRESS,INC,,,,25,4,,6,3991,0.617,,5165,4050,59,78.412,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,2,Scheduled Tribe,4,CHINNA GANGADHAR KOTHADI,,,,,10809,Independent,IND,,,,16,5,,6,3991,0.395,,5165,4050,59,78.412,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,2,Scheduled Tribe,5,MALAVATH NAGESH,,,,,10809,Independent,IND,,,,9,6,,6,3991,0.222,,5165,4050,59,78.412,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,2,Scheduled Tribe,,NOTA,,,,,,,,,,,2,7,,6,3991,0.049,,5165,4050,59,78.412,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,3,Unreserved,1,Chitikela Srinivas Reddy,,,,,8284,Telangana Rashtra Samithi,TRS,,,,1649,1,,6,3048,53.556,,4231,3079,31,72.772,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,3,Unreserved,2,CHINTHA SRINIVAS,,,,,1605,Bharatiya Janata Party,BJP,,,,1267,2,,6,3048,41.15,,4231,3079,31,72.772,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,3,Unreserved,5,CHANDRASHEKAR BANDLA,,,,,10809,Independent,IND,,,,70,3,,6,3048,2.273,,4231,3079,31,72.772,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,3,Unreserved,3,D LINGANNA,,,,,3482,CONGRESS,INC,,,,25,4,,6,3048,0.812,,4231,3079,31,72.772,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,3,Unreserved,4,KATIPALLY SURENDHAR REDDY,,,,,10809,Independent,IND,,,,24,5,,6,3048,0.779,,4231,3079,31,72.772,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,3,Unreserved,6,RAJENDER SURESH,,,,,10809,Independent,IND,,,,6,6,,6,3048,0.195,,4231,3079,31,72.772,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,3,Unreserved,,NOTA,,,,,,,,,,,7,7,,6,3048,0.227,,4231,3079,31,72.772,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,4,Unreserved,3,VEERAMACHINANE PRAMOD KUMAR,,,,,1605,Bharatiya Janata Party,BJP,,,,1934,1,,6,3094,61.868,,4710,3126,32,66.369,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,4,Unreserved,4,SATHYA NARAYANA,,,,,8284,Telangana Rashtra Samithi,TRS,,,,1025,2,,6,3094,32.79,,4710,3126,32,66.369,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,4,Unreserved,2,VINOD M,,,,,3482,CONGRESS,INC,,,,67,3,,6,3094,2.143,,4710,3126,32,66.369,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,4,Unreserved,5,MAITHRI RAJA SHEKHAR,,,,,10809,Independent,IND,,,,26,4,,6,3094,0.832,,4710,3126,32,66.369,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,4,Unreserved,1,RAJA GOUD GOLLAPALLY,,,,,3040,All India Forward Bloc,AIFB,,,,19,5,,6,3094,0.608,,4710,3126,32,66.369,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,4,Unreserved,6,Sunil Jadav,,,,,10809,Independent,IND,,,,12,6,,6,3094,0.384,,4710,3126,32,66.369,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,4,Unreserved,,NOTA,,,,,,,,,,,11,7,,6,3094,0.352,,4710,3126,32,66.369,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,5,Unreserved (Women),4,SANDAGIRI SOUJANYA,,,,,1605,Bharatiya Janata Party,BJP,,,,2219,1,,5,4031,54.321,,5645,4085,54,72.365,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,5,Unreserved (Women),1,ARUNA GUTPA,,,,,8284,Telangana Rashtra Samithi,TRS,,,,1458,2,,5,4031,35.692,,5645,4085,54,72.365,,
Telangana,2020,,,0,Nizamabad,MC,1,Nizamabad MC,,5,Unreserved (Women),3,DANDU ANVIKA,,,,,3040,All India Forward Bloc,AIFB,,,,177,3,,5,4031,4.333,,5645,4085,54,72.365,,
